,ticket_id,user_id,company_id,issue_category,created_at,match_id,staff_id,matched_at,company_name,company_size,wait_time,wait_time_minutes
0,1,11,35,Account,2024-06-19 15:19:41.967908,1,44,2024-06-19 15:21:26.967908,Company_35,16,0 days 00:01:45,1.75
1,2,32,21,Technical,2024-03-09 02:13:25.967908,2,32,2024-03-09 02:21:02.967908,Company_21,31,0 days 00:07:37,7.616666666666666
2,3,373,32,General Inquiry,2024-02-21 07:56:30.967908,3,16,2024-02-21 08:06:17.967908,Company_32,47,0 days 00:09:47,9.783333333333333
3,4,223,8,Account,2024-07-09 11:15:32.967908,4,32,2024-07-09 11:17:30.967908,Company_8,15,0 days 00:01:58,1.9666666666666666
4,5,78,10,Billing,2024-04-09 21:06:46.967908,5,45,2024-04-09 21:08:42.967908,Company_10,12,0 days 00:01:56,1.9333333333333333
5,6,11,35,Technical,2024-04-04 00:39:43.967908,6,37,2024-04-04 00:57:05.967908,Company_35,16,0 days 00:17:22,17.366666666666667
6,7,45,9,Technical,2024-03-30 19:37:14.967908,7,36,2024-03-30 19:37:14.967908,Company_9,4,0 days 00:00:00,0.0
7,8,87,4,Technical,2024-03-14 13:40:37.967908,8,21,2024-03-14 13:40:59.967908,Company_4,33,0 days 00:00:22,0.36666666666666664
8,9,10,33,Technical,2024-07-08 11:35:16.967908,9,47,2024-07-08 11:35:22.967908,Company_33,7,0 days 00:00:06,0.1
9,10,82,22,Technical,2024-03-07 09:02:43.967908,10,12,2024-03-07 09:04:48.967908,Company_22,5,0 days 00:02:05,2.0833333333333335
10,11,162,18,Technical,2024-06-26 21:01:53.967908,11,21,2024-06-26 21:02:40.967908,Company_18,10,0 days 00:00:47,0.7833333333333333
11,12,58,4,Billing,2024-07-09 07:08:42.967908,12,21,2024-07-09 07:16:45.967908,Company_4,33,0 days 00:08:03,8.05
12,13,99,4,Technical,2024-08-07 17:14:29.967908,13,43,2024-08-07 17:16:02.967908,Company_4,33,0 days 00:01:33,1.55
13,14,81,31,Billing,2024-06-01 08:58:32.967908,14,6,2024-06-01 09:01:48.967908,Company_31,4,0 days 00:03:16,3.2666666666666666
14,15,32,21,Account,2024-03-04 08:32:51.967908,15,9,2024-03-04 08:34:07.967908,Company_21,31,0 days 00:01:16,1.2666666666666666
15,16,95,14,Billing,2024-06-10 03:16:40.967908,16,1,2024-06-10 03:18:11.967908,Company_14,1,0 days 00:01:31,1.5166666666666666
16,17,158,14,Account,2024-05-08 09:40:53.967908,17,12,2024-05-08 09:44:51.967908,Company_14,1,0 days 00:03:58,3.966666666666667
17,18,85,45,Account,2024-02-22 15:30:04.967908,18,14,2024-02-22 15:37:23.967908,Company_45,1,0 days 00:07:19,7.316666666666666
18,19,83,3,Billing,2024-02-22 06:14:54.967908,19,6,2024-02-22 06:15:12.967908,Company_3,14,0 days 00:00:18,0.3
19,20,74,48,Account,2024-03-05 16:02:05.967908,20,1,2024-03-05 16:06:48.967908,Company_48,21,0 days 00:04:43,4.716666666666667
20,21,19,10,Account,2024-03-29 22:18:36.967908,21,22,2024-03-29 22:21:38.967908,Company_10,12,0 days 00:03:02,3.033333333333333
21,22,278,21,Technical,2024-04-01 15:39:42.967908,22,34,2024-04-01 15:46:01.967908,Company_21,31,0 days 00:06:19,6.316666666666666
22,23,99,4,Technical,2024-05-24 14:30:34.967908,23,11,2024-05-24 14:36:09.967908,Company_4,33,0 days 00:05:35,5.583333333333333
23,24,40,7,Account,2024-06-12 08:59:38.967908,24,3,2024-06-12 09:03:12.967908,Company_7,35,0 days 00:03:34,3.566666666666667
