"ticket_id","user_id","company_id","issue_category","created_at","match_id","ticket_id","staff_id","matched_at","company_id","company_name","company_size","wait_time","wait_time_exceeded"
"1","11","35","Account","2024-06-19 15:19:41.967908","1","1","44","2024-06-19 15:21:26.967908","35","Company_35","16","00:01:45","0"
"2","32","21","Technical","2024-03-09 02:13:25.967908","2","2","32","2024-03-09 02:21:02.967908","21","Company_21","31","00:07:37","0"
"3","373","32","General Inquiry","2024-02-21 07:56:30.967908","3","3","16","2024-02-21 08:06:17.967908","32","Company_32","47","00:09:47","0"
"4","223","8","Account","2024-07-09 11:15:32.967908","4","4","32","2024-07-09 11:17:30.967908","8","Company_8","15","00:01:58","0"
"5","78","10","Billing","2024-04-09 21:06:46.967908","5","5","45","2024-04-09 21:08:42.967908","10","Company_10","12","00:01:56","0"
"6","11","35","Technical","2024-04-04 00:39:43.967908","6","6","37","2024-04-04 00:57:05.967908","35","Company_35","16","00:17:22","0"
"7","45","9","Technical","2024-03-30 19:37:14.967908","7","7","36","2024-03-30 19:37:14.967908","9","Company_9","4","00:00:00","0"
"8","87","4","Technical","2024-03-14 13:40:37.967908","8","8","21","2024-03-14 13:40:59.967908","4","Company_4","33","00:00:22","0"
"9","10","33","Technical","2024-07-08 11:35:16.967908","9","9","47","2024-07-08 11:35:22.967908","33","Company_33","7","00:00:06","0"
"10","82","22","Technical","2024-03-07 09:02:43.967908","10","10","12","2024-03-07 09:04:48.967908","22","Company_22","5","00:02:05","0"
"11","162","18","Technical","2024-06-26 21:01:53.967908","11","11","21","2024-06-26 21:02:40.967908","18","Company_18","10","00:00:47","0"
"12","58","4","Billing","2024-07-09 07:08:42.967908","12","12","21","2024-07-09 07:16:45.967908","4","Company_4","33","00:08:03","0"
"13","99","4","Technical","2024-08-07 17:14:29.967908","13","13","43","2024-08-07 17:16:02.967908","4","Company_4","33","00:01:33","0"
"14","81","31","Billing","2024-06-01 08:58:32.967908","14","14","6","2024-06-01 09:01:48.967908","31","Company_31","4","00:03:16","0"
"15","32","21","Account","2024-03-04 08:32:51.967908","15","15","9","2024-03-04 08:34:07.967908","21","Company_21","31","00:01:16","0"
"16","95","14","Billing","2024-06-10 03:16:40.967908","16","16","1","2024-06-10 03:18:11.967908","14","Company_14","1","00:01:31","0"
"17","158","14","Account","2024-05-08 09:40:53.967908","17","17","12","2024-05-08 09:44:51.967908","14","Company_14","1","00:03:58","0"
"18","85","45","Account","2024-02-22 15:30:04.967908","18","18","14","2024-02-22 15:37:23.967908","45","Company_45","1","00:07:19","0"
"19","83","3","Billing","2024-02-22 06:14:54.967908","19","19","6","2024-02-22 06:15:12.967908","3","Company_3","14","00:00:18","0"
"20","74","48","Account","2024-03-05 16:02:05.967908","20","20","1","2024-03-05 16:06:48.967908","48","Company_48","21","00:04:43","0"
"21","19","10","Account","2024-03-29 22:18:36.967908","21","21","22","2024-03-29 22:21:38.967908","10","Company_10","12","00:03:02","0"
"22","278","21","Technical","2024-04-01 15:39:42.967908","22","22","34","2024-04-01 15:46:01.967908","21","Company_21","31","00:06:19","0"
"23","99","4","Technical","2024-05-24 14:30:34.967908","23","23","11","2024-05-24 14:36:09.967908","4","Company_4","33","00:05:35","0"
"24","40","7","Account","2024-06-12 08:59:38.967908","24","24","3","2024-06-12 09:03:12.967908","7","Company_7","35","00:03:34","0"
"25","20","11","Account","2024-02-21 15:02:59.967908","25","25","42","2024-02-21 15:06:48.967908","11","Company_11","4","00:03:49","0"
"26","100","41","Billing","2024-06-04 10:58:29.967908","26","26","6","2024-06-04 11:03:58.967908","41","Company_41","15","00:05:29","0"
"27","1","4","Technical","2024-03-26 02:02:02.967908","27","27","6","2024-03-26 02:10:30.967908","4","Company_4","33","00:08:28","0"
"28","74","48","General Inquiry","2024-07-04 12:16:35.967908","28","28","20","2024-07-04 12:20:08.967908","48","Company_48","21","00:03:33","0"
"29","76","8","Technical","2024-06-21 16:03:51.967908","29","29","21","2024-06-21 16:19:28.967908","8","Company_8","15","00:15:37","0"
"30","76","8","Billing","2024-07-01 15:47:40.967908","30","30","2","2024-07-01 16:12:15.967908","8","Company_8","15","00:24:35","0"
"31","93","7","Technical","2024-06-01 06:59:40.967908","31","31","26","2024-06-01 07:05:07.967908","7","Company_7","35","00:05:27","0"
"32","91","32","Billing","2024-05-07 22:29:14.967908","32","32","31","2024-05-07 22:33:51.967908","32","Company_32","47","00:04:37","0"
"33","792","21","Technical","2024-03-30 06:42:39.967908","33","33","26","2024-03-30 06:43:58.967908","21","Company_21","31","00:01:19","0"
"34","76","8","General Inquiry","2024-05-13 16:50:57.967908","34","34","32","2024-05-13 17:00:42.967908","8","Company_8","15","00:09:45","0"
"35","13","13","General Inquiry","2024-06-09 21:33:37.967908","35","35","10","2024-06-09 21:46:20.967908","13","Company_13","9","00:12:43","0"
"36","82","22","Technical","2024-04-10 11:50:45.967908","36","36","23","2024-04-10 11:54:49.967908","22","Company_22","5","00:04:04","0"
"37","36","32","Account","2024-07-22 15:36:09.967908","37","37","6","2024-07-22 15:53:17.967908","32","Company_32","47","00:17:08","0"
"38","9","32","Billing","2024-08-03 06:36:59.967908","38","38","23","2024-08-03 06:37:52.967908","32","Company_32","47","00:00:53","0"
"39","42","35","Billing","2024-02-17 17:40:11.967908","39","39","28","2024-02-17 17:43:14.967908","35","Company_35","16","00:03:03","0"
"40","6","7","Account","2024-07-12 19:40:55.967908","40","40","49","2024-07-12 19:44:43.967908","7","Company_7","35","00:03:48","0"
"41","851","9","General Inquiry","2024-07-21 22:46:23.967908","41","41","30","2024-07-21 22:49:48.967908","9","Company_9","4","00:03:25","0"
"42","90","7","Technical","2024-03-18 11:26:58.967908","42","42","14","2024-03-18 11:44:34.967908","7","Company_7","35","00:17:36","0"
"43","91","32","Technical","2024-07-01 00:56:55.967908","43","43","37","2024-07-01 00:57:06.967908","32","Company_32","47","00:00:11","0"
"44","3","4","Technical","2024-05-08 12:54:33.967908","44","44","32","2024-05-08 13:08:14.967908","4","Company_4","33","00:13:41","0"
"45","59","7","Account","2024-04-22 13:03:56.967908","45","45","49","2024-04-22 13:05:06.967908","7","Company_7","35","00:01:10","0"
"46","82","22","Technical","2024-04-10 10:21:27.967908","46","46","34","2024-04-10 10:28:56.967908","22","Company_22","5","00:07:29","0"
"47","33","1","General Inquiry","2024-03-17 15:58:13.967908","47","47","41","2024-03-17 16:06:09.967908","1","Company_1","12","00:07:56","0"
"48","51","39","Technical","2024-03-29 06:49:05.967908","48","48","44","2024-03-29 06:53:54.967908","39","Company_39","1","00:04:49","0"
"49","20","11","Account","2024-07-13 17:31:25.967908","49","49","22","2024-07-13 17:34:43.967908","11","Company_11","4","00:03:18","0"
"50","83","3","Technical","2024-04-21 20:01:39.967908","50","50","31","2024-04-21 20:30:29.967908","3","Company_3","14","00:28:50","0"
"51","10","33","Billing","2024-03-07 07:43:03.967908","51","51","7","2024-03-07 07:48:21.967908","33","Company_33","7","00:05:18","0"
"52","78","10","Technical","2024-03-05 11:36:37.967908","52","52","41","2024-03-05 12:21:18.967908","10","Company_10","12","00:44:41","1"
"53","724","48","Technical","2024-04-30 05:58:22.967908","53","53","21","2024-04-30 06:01:18.967908","48","Company_48","21","00:02:56","0"
"54","52","7","General Inquiry","2024-03-06 06:06:51.967908","54","54","16","2024-03-06 06:16:17.967908","7","Company_7","35","00:09:26","0"
"55","50","42","Billing","2024-04-26 04:20:54.967908","55","55","20","2024-04-26 04:24:47.967908","42","Company_42","8","00:03:53","0"
"56","48","40","Technical","2024-07-30 00:59:36.967908","56","56","43","2024-07-30 00:59:44.967908","40","Company_40","8","00:00:08","0"
